"","DJIA","MMM","AA","AXP","T","BAC","BA","CAT","CVX","CSCO","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","TRV","UTX","UNH","VZ","WMT","DIS"
"2011-01-03",11670.75,81.4,15.36,41.85,25.93,14.04,62.56,89.4,84.87,19.57,30.61,45.96,70.09,16.93,40.68,33.37,19.07,141.37,57.55,40.88,71.46,32.71,26.11,16.05,59.76,52.43,74.34,35.98,32.22,51.19,36.63
"2011-01-04",11691.18,81.29,16.06,42.38,26.11,14.09,63.07,88.98,84.56,19.6,29.97,45.84,70.42,17.24,41.53,32.76,19.35,141.52,58.04,41.47,69.33,32.99,26.21,16.33,59.93,52.2,74.46,36.31,32.86,51.39,37.77
"2011-01-05",11722.89,81.29,16.09,43.61,26.2,14.35,63.58,89.75,84.41,19.84,29.79,46.14,70.23,17.27,42.07,32.66,19.16,140.95,58,41.98,69.65,33.19,26.12,16.44,59.79,51.89,74.57,36.42,33.31,51.05,38.71
"2011-01-06",11697.31,80.79,15.9,43.31,25.85,14.29,64.82,88.82,83.72,20.01,29.58,45.92,70.68,17.19,42.72,32.53,19,142.5,57.91,41.78,69.23,33.64,26.89,16.51,59.69,51.09,74.49,37.18,32.46,50.63,38.41
"2011-01-07",11674.76,80.88,15.96,42.95,25.58,14.1,65.37,89,84.18,20.03,29.53,45.72,71.06,17.07,42.92,32.49,18.9,141.8,57.35,40.99,69.38,33.9,26.68,16.65,59.51,50.09,74.43,37.26,32.19,50.74,38.21
"2011-01-10",11637.45,81.74,16.03,43.05,25.13,14.25,65.1,88.68,83.46,19.86,29.59,45.05,70.63,17.15,42.7,32.5,18.93,141.52,56.95,40.76,68.63,33.77,26.33,16.58,59.38,50.58,73.84,37.26,32.18,50.41,38.26
"2011-01-11",11671.88,82.3,15.87,43.61,24.75,14.54,64.97,89.21,84.77,19.94,29.42,44.99,71.16,17.26,43.25,32.94,19.26,141.17,57.05,40.95,68.94,33.54,26.23,16.54,59.09,50.63,74.28,37.87,31.68,50.94,38.16
"2011-01-12",11755.44,83.16,15.78,43.57,24.86,14.83,66.1,88.77,85.34,20.17,29.58,45.11,71.99,17.3,43.45,32.91,19.49,142.92,57.26,41.99,68.66,33.72,26.64,16.68,59.94,51.28,74.76,37.65,31.78,51.46,37.94
"2011-01-13",11731.9,82.58,15.31,43.63,24.9,14.62,65.79,89.39,85.09,20.14,29.75,45.38,72.12,17.23,43.45,33.33,19.48,142.65,57.64,41.75,67.8,31.49,26.3,16.54,60.41,51.35,74.82,38.37,32.08,51.4,38.03
"2011-01-14",11787.38,82.63,15.52,44.78,25.21,15.09,66.02,89.26,85.69,20.26,29.63,45.75,73.18,17.44,44.03,33.91,19.28,143.78,57.31,42.18,69.09,31.07,26.4,16.65,60.46,51.31,74.43,39.5,31.77,51.42,38.06
"2011-01-18",11837.93,82.67,15.81,44.9,25.12,14.84,68.28,91.8,86.17,20.27,29.79,45.66,74,17.23,44.11,34.04,19.28,144.4,56.9,42.03,69.67,30.74,26.74,16.69,60.43,51.35,74.89,39.61,30.79,51.73,38.15
"2011-01-19",11825.29,82.5,15.61,43.8,25.12,14.22,67.58,91.14,85.82,19.89,29.76,44.91,73.56,16.98,44.09,33.67,19.22,149.24,57.32,41.05,70.3,30.78,26.56,16.63,60.74,51.14,75.21,39.3,31,51.63,37.86
"2011-01-20",11822.8,82.58,15.53,43.83,25.03,14.39,67.01,89.3,85.58,19.84,29.53,44.21,73.09,17.07,44.53,34.48,19.17,149.34,57.59,42.03,70.12,30.91,26.45,16.56,61.16,51.55,74.87,39.06,31.01,52.53,37.94
"2011-01-21",11871.84,83.75,15.35,44.54,25.12,14.1,67.54,88.48,86.57,19.8,29.46,44.42,74.25,18.29,44.96,34.5,19.05,149.05,57.41,42.54,69.98,30.77,26.14,16.67,61.26,51.66,75.48,39.16,31.31,52.29,38.49
"2011-01-24",11980.52,84.72,15.97,44.34,25.25,13.77,68.53,90.22,86.87,20.22,29.68,44.92,73.88,18.57,45.26,34.63,19.43,153.01,57.01,42.28,70.32,30.68,26.48,16.75,61.89,52.24,76.72,38.57,31.57,52.59,38.69
"2011-01-25",11977.19,83.01,15.78,43.38,25.5,13.49,68.06,90.05,86.85,20.58,29.55,45.06,73.97,18.51,44.82,35.11,19.71,154.75,55.96,42.14,70.42,30.28,26.54,16.77,62,52.82,76.92,39.36,32.07,53.72,38.61
"2011-01-26",11985.44,84.01,16.13,43.05,25.47,13.41,65.97,91.34,87.36,20.46,29.55,46.23,74.89,18.45,44.63,35.36,19.9,154.36,55.52,42.24,70.13,30.14,26.85,16.67,61.45,52.79,76.62,39,32.61,53.78,38.2
"2011-01-27",11989.83,83.66,16.01,43.13,24.94,13.53,66.48,92.18,87.47,20.48,29.42,46.19,75.1,18.79,44.49,35.89,19.9,154.39,55.59,42.36,69.36,30.18,26.94,16.78,59.65,53.19,77.73,40.98,32.69,54.01,38.22
"2011-01-28",11823.7,82.01,15.68,42.47,24.37,13.46,65.23,91.28,86.19,19.99,29.19,46.2,74.26,18.71,43.32,34.68,19.63,152.61,54.98,41.83,68.37,30.02,25.89,16.48,59.67,52.42,76.64,39.66,31.92,53.2,37.63
"2011-01-31",11891.93,82.46,16.1,42,24.4,13.59,65.46,92.55,87.63,20.2,29.49,46.56,75.85,18.66,43.49,34.75,19.63,155.28,54.76,42.21,68.73,30.11,25.87,16.54,58.68,52.84,76.52,39.78,31.91,52.61,37.65
"2011-02-01",12040.16,82.34,16.83,42.22,24.71,14.16,66.23,93.5,88.82,20.51,29.59,47.46,78.89,19.27,44.28,34.95,19.65,156.78,55.55,43.14,68.54,30.86,26.11,17.45,58.48,53.36,77.01,40.76,32.5,52.85,38.63
"2011-02-02",12041.97,82.3,16.76,42.33,24.53,14.09,66.9,94.53,89.06,20.65,29.5,47.64,78.42,19.19,44.63,34.55,19.72,156.53,55.54,42.69,68.7,30.7,26.07,17.4,58.36,53.27,77.33,40.65,32.4,52.41,39.22
"2011-02-03",12062.26,82.49,16.76,42.15,24.82,14.28,66.88,94.38,89.83,20.93,29.36,47.71,78.44,19.22,45.04,34.68,19.9,156.75,55.7,42.7,68.88,29.86,25.8,17.59,58.46,53.77,77.38,41.7,32.6,52.46,39.23
"2011-02-04",12092.15,82.81,16.69,42.43,24.8,14.14,67.25,95.01,89.64,21.06,29.36,48.26,78.29,19.05,45.15,34.77,20,157.2,55.74,41.88,69.08,29.85,25.91,17.71,59.12,53.92,77.66,41.17,32.53,52.57,39.43
"2011-02-07",12161.63,83.28,16.86,43.4,24.79,14.52,67.77,95.85,90.15,21.04,29.34,49,78.9,19.33,45.82,34.59,20.01,157.99,55.77,42.73,68.52,29.95,26.31,17.47,60,53.71,78.74,40.51,32.27,52.61,39.65
"2011-02-08",12233.15,83.92,16.94,44.42,24.75,14.46,68.51,95.98,90.23,21.01,29.5,49.35,78.42,19.71,45.82,35.11,19.96,159.8,55.83,42.96,70.31,30.2,26.39,17.58,60.08,54.37,78.94,40.67,32.56,52.9,39.89
"2011-02-09",12239.89,85.15,16.71,44.27,24.8,14.49,68.83,95.2,88.84,21.05,29.64,49.46,78.02,19.74,46.59,35.12,19.8,158.45,55.78,42.37,70.84,30.04,26.1,17.48,59.85,55.24,79.04,40.76,32.86,53.22,42
"2011-02-10",12229.29,84.85,16.67,45.09,25.04,14.34,68.86,95.97,89.27,18.07,29.82,49.92,78.63,19.7,46.21,35.26,20.11,157.91,55.82,42.76,70.68,29.99,25.66,17.46,60.03,54.91,79.76,41.11,32.63,52.15,41.95
"2011-02-11",12273.26,86.1,16.91,45.27,25.24,14.62,68.37,98.78,89.04,17.86,29.83,50.53,78.27,19.76,46.3,35.42,20.07,157.68,55.61,43.74,71.03,30.02,25.42,17.28,60.17,55.41,80.19,41.06,32.6,52.25,42.05
"2011-02-14",12268.19,86.2,17.13,45.04,25.23,14.73,68.48,98.51,90.17,17.97,29.63,50.47,80.25,19.92,45.99,35.51,19.9,157.07,55.61,43.71,71.13,29.79,25.41,17.48,59.99,55.27,80.2,41.14,32.17,51.41,41.88
"2011-02-15",12226.64,86.29,16.94,44.72,25.04,14.62,67.66,98.26,89.6,17.83,29.65,50.09,78.41,19.88,45.68,35.62,19.79,156.71,55.54,43.97,71.04,29.76,25.3,17.48,59.41,55.75,79.93,40.73,32.67,51.55,41.74
"2011-02-16",12288.17,87.12,17.13,45.37,25.09,14.68,68.69,98.79,89.9,17.75,29.75,50.61,79.09,19.86,46.63,35.78,20.07,157.25,55.45,45.02,70.92,29.92,25.36,17.69,59.26,55.85,80.46,41.18,32.41,51.18,42.33
"2011-02-17",12318.14,87.5,17.06,44.33,25.27,14.66,68.46,98.6,90.37,17.84,30.29,51.46,79.27,19.94,46.28,36.08,20.27,158.05,55.7,44.91,70.88,30.04,25.54,17.77,59.49,56.15,79.97,41.27,32.59,51.37,42.33
"2011-02-18",12391.25,87.72,16.82,44.08,25.33,14.6,69.22,100.99,91.82,18.01,30.29,51.82,79.86,19.86,46.33,36.36,20.43,158.63,55.99,45.08,71.02,29.82,25.4,17.61,59.77,57.22,80.41,41.51,32.81,51.96,42.19
"2011-02-22",12212.79,86.81,16.1,42.88,25,14.03,67.22,97.32,93.3,17.76,29.92,50.34,80.75,19.29,45.91,35.99,20.12,155.85,55.57,43.21,70.62,29.35,24.96,17.33,59.55,56.86,79.04,41.63,32.26,50.35,41.31
"2011-02-23",12105.78,85.17,16.01,42.06,24.85,14.02,66.56,95.42,95.12,17.58,29.99,49.72,82.29,18.87,41.49,35.25,19.51,154.15,55.33,43.17,70.15,29.13,24.96,17.21,59.63,56.75,78.31,41.58,32.08,49.75,40.81
"2011-02-24",12068.5,84.95,16.11,42.18,24.75,13.82,67.06,95.94,94.89,17.54,29.98,49.1,81.25,19.2,40.14,35.1,19.64,154.71,55.2,43.12,70.17,29.07,25.12,17.34,58.6,55.73,78.24,41.42,31.88,48.87,41.09
"2011-02-25",12130.45,85.16,16.24,42.15,24.94,14.05,68.52,97.31,94.96,17.81,30.18,50.05,80.65,19.42,40.63,35.04,20.17,156.17,55.14,43.84,70.02,29.22,24.92,17.3,58.41,55.98,78.86,41.2,32.23,48.55,41.6
"2011-02-28",12226.34,87.03,16.4,42.19,25.16,14.14,68.24,98.19,96.49,17.73,30,50.79,80.83,19.51,41.53,35.41,19.81,155.78,56.8,43.85,71.18,29.56,24.95,17.65,58.6,56.29,79.02,41.26,33.08,48.77,42.37
"2011-03-01",12058.02,85.36,15.8,41.78,24.9,13.78,66.45,95.26,95.7,17.73,30.46,49.27,80.14,18.89,40.85,34.74,19.73,153.95,56.12,42.83,70.44,29.46,24.55,17.56,58.32,55.62,77.64,41.13,32.27,48.85,41.64
"2011-03-02",12066.8,86.17,15.75,41.65,24.98,13.7,65.93,96.32,96.23,17.67,30.24,49.12,80.41,18.96,41.16,34.64,19.83,154.13,56.22,42.46,70.25,29.57,24.48,17.61,58.01,55.24,77.61,42.21,32.56,48.76,41.93
"2011-03-03",12258.2,87.57,16.19,42.89,24.94,14.13,67.96,99.45,96.9,17.7,30.77,50.5,81.11,19.36,41.12,35.48,20.1,157.32,56.44,43.28,71.71,30.04,24.59,18.14,58.14,55.47,79.31,43.52,32.58,48.8,42.69
"2011-03-04",12169.88,86.99,16.14,42.33,24.75,13.98,68.04,98.3,96.49,17.58,30.6,49.87,80.41,19,40.56,35.17,19.89,155.74,56.45,42.75,71.51,30.01,24.35,18.04,57.66,55.59,78.38,43.19,32.33,48.85,42.18
"2011-03-07",12090.03,87.19,15.82,42.32,24.74,13.89,67.17,97.43,95.81,17.38,30.61,49.3,80.07,19.01,39.96,34.84,19.57,153.91,55.84,42.44,71.76,29.8,24.14,17.99,57.36,55.38,77.83,42.33,32.26,48.81,41.67
"2011-03-08",12214.38,88.46,16.05,43.8,25.22,14.55,68.27,99.34,96.51,17.4,30.8,50.23,79.95,19.24,40.36,35.24,19.49,156.17,56.12,43.58,71.05,29.94,24.32,18.06,57.67,55.82,78.75,42.59,32.69,49.2,41.84
"2011-03-09",12213.09,87.91,15.87,43.62,25.53,14.45,68.32,97.65,95,17.31,30.79,49.72,79.75,19.24,40.03,35.84,19.56,159.61,55.84,43.73,71.28,30.22,24.3,18.04,57.63,56.14,78.4,43.23,32.84,49.76,41.77
"2011-03-10",11984.61,84.93,15.38,42.62,25.37,14.12,67.56,93.86,92.15,17.12,30.64,48.68,76.91,18.75,39.49,35.27,19.18,155.92,55.11,42.76,72.12,29.86,23.85,17.76,57.15,55.31,76.54,42.55,32.61,49.74,41.14
"2011-03-11",12044.4,86.44,15.61,42.87,25.23,14.24,67.89,95.42,92.94,17.15,30.63,48.97,77.61,18.99,39.72,35.34,19.25,156.31,55.18,42.96,72.17,30.06,24.1,17.86,57.15,55.65,76.88,42.36,32.12,49.69,41.58
"2011-03-14",11993.16,85.89,15.69,42.52,24.99,14.09,67.04,97.4,93.75,17.05,30.22,49.08,77.86,18.58,39.57,34.9,19.23,155.31,54.66,42.55,71.17,29.73,24.11,18.18,57.02,55.63,76.37,41.94,31.52,49.43,40.91
"2011-03-15",11855.42,84.45,15.62,42.25,24.66,13.82,66.04,96.11,94.15,16.61,29.79,48.51,76.92,18.29,39.04,34.53,18.62,153.03,54.06,41.9,70.66,29.26,23.83,18.13,56.38,55.31,75.21,41.58,31.24,49.19,40.31
"2011-03-16",11613.3,82.61,15.25,41.01,24.23,13.56,64.15,95.78,92.55,16.29,29.12,47.7,74.95,17.68,38.28,33.95,18.28,147.24,53.31,41.15,69.02,28.54,23.27,17.71,55.52,54.86,74.09,40.68,30.73,48.54,39.33
"2011-03-17",11774.59,83.69,15.59,42.04,24.59,13.84,64.73,98.37,95.09,16.24,29.44,48.44,76.7,17.93,39.51,34.02,18.36,148.37,53.74,41.85,69.04,28.87,23.26,18.24,56.17,55.46,75.19,41.08,31.65,48.53,39.48
"2011-03-18",11858.52,83.96,15.68,42.77,24.77,13.9,65.48,100.23,95.61,16.37,29.64,49.05,76.41,17.96,39.41,34.25,18.39,150.02,54.15,42.96,68.65,29.3,23.28,18.52,56.33,54.87,75.82,41.4,32.11,48.68,39.94
"2011-03-21",12036.53,85.82,16.11,42.91,25.06,13.91,67.47,102.64,97.83,16.61,30.05,49.83,78.29,18.4,39.84,34.66,18.63,151.74,54.39,42.86,69.38,29.74,23.77,18.33,56.98,55.71,77.05,41.97,32.67,49.05,40.51
"2011-03-22",12018.63,85.58,16.02,43.33,24.91,13.74,68.09,101.88,97.87,16.67,30.02,49.68,78.03,18.18,39.81,34.53,18.59,152.05,54.35,42.71,69.48,29.87,23.74,18.3,56.63,55.08,76.5,41.53,33.11,49.13,40.14
"2011-03-23",12086.02,86.94,16.5,43.59,24.95,13.52,68.91,101.85,98.1,16.79,30.38,49.49,78.06,18.22,40.12,34.84,18.72,153.52,54.29,42.83,70.1,29.96,23.97,18.28,56.61,55.22,77.43,41.54,33.13,48.79,40.91
"2011-03-24",12170.56,87.36,16.66,44.14,25.3,13.35,68.95,103.38,98.01,16.58,30.58,49.69,78.19,18.45,41.11,35.54,18.8,154.01,54.57,42.95,70.48,30.05,24.22,18.63,56.83,55.6,78.28,42.56,33.31,49.69,41.51
